Scenario,Trigger/Condition,Checks,Action,Recognition Phrases/Keywords,Refund Reason/Settings
Authenticate who the user is,Identify who the Account Holder is,Look in Admin for Account Name / Email,"If the person calling is not the account holder, we can't take any action on the account. If the customer mentions booking though a third party service, they are likely a victim of a reseller. ",,
Product Type Check,"Identify if the product is a Transient, Event, or On-demand booking","Look in Admin under ""Type"". Event bookings will have an event attached to the pass under the start time.","On-Demand products are non-refundable. 
Event passes usually have restrictions follow merchant of record/special handling scenarios.
Transient passes should be handled as usual. ",,
Merchant of Record Check,Identify who the MOR is on the pass,Look in Admin for MOR field,"If MOR = ParkWhiz → process normally. 
If MOR = AXS → Non-refundable. Refer to seller 1-888-929-7849 (exception Seller/Event cancellations).
If MOR = SeatGeek → Non-refundable. Refer to seller (888)506-4101 (exception Seller/Event cancellations).
If MOR = StubHub → Non-refundable. Refer to seller (866) 788-2482 (exception Seller/Event cancellations).
If MOR = Ticketmaster → process normally. For delayed refunds, refer to TM 1-800-653-8000 (exception: no credit)
If MOR = Groupon → process normally. For delayed refunds, refer to Groupon 1-866-956-1276 (exception: no credit, no partial refunds on multi-day passes). 
If MOR = Avis → process normally.
If MOR = GasBuddy → refer to GasBuddy (617-207-6686) (Let them know to select OPTION 1 when prompted.)
If MOR = Peasy → refer to Peasy 1-833-997-3279
If MOR = Tantalum → Pre-arrival passes must be canceled via the app, post-start passes should be processed normally. 
If MOR = Pay-By-Phone → Pre-purchase support is handled by PayByPhone. ParkWhiz owns post-purchase support and should be processed normally. (No credits)
If MOR = Edenred (Amazon) → process normally.
If MOR = Google → process normally. 
If MOR = Waze → process normally. ",Merchant of record; MOR; purchased through; third-party seller; not ParkWhiz,
Special Handling Check,Identify who the Seller/Location is on the pass,Look in Admin for Seller field,"If Seller = Diamond Parking → Enter the refund request on to the Diamond Parking Refund Request Sheet. If they were approved, then they will be refunded. If they were denied, email the customer and let them know that their refund request was denied by Diamond Parking by using the canned response #Diamond-Denied-Refund. (exception: duplicate passes can be refunded without approval, but still needed to be added to the sheet under ""duplicate"" tab, pre-arrival can be handled as usual)
If Seller = Parking Management →  Email the NYC team at nyc@parkwhiz.com via Freshdesk to request refund approval for all post-start refunds. (pre-arrival can be handled as usual)
If Seller = 75 Lafayette St. Lot → For all refunds, both pre-arrival and post-start, please email the POC Jose Lopez via a new ticket on Freshdesk. donpeperestaurant@verizon.net 
If Seller = Gale Force Sports & Entertainment (PNC Arena) → For all refunds, both pre-arrival and post-start, please reach out to Rob Seltzer via a new ticket in Freshdesk robs@pncarena.com
If Seller = Shamrock Parking, LLC (Seattle, Wa) → For all refunds, pre-arrival and post-start, please reach out to the POC, Brian via a new ticket in Freshdesk shamrockparking@yahoo.com (exception: duplicate passes can be refunded without seller approva) 
If Seller = Park-Rite → For all refunds, pre-arrival and post-start, please email the POC, Miguel Nouhan via a new ticket in Freshdesk miguel@parkriteinc.com (exception: For refund requests at 3110 Cass Ave and 3117 Woodward, email Mo at mo@parkriteinc.com instead)
If Seller = UBS Arena (OVG) → For all post-start refunds, please email the appropriate POC for refund approval via a new ticket in Freshdesk. Pre-arrival refunds we can do without seller approval. For NY Islanders Hockey Games: email Christopher Zabady (christopher.zabady@newyorkislanders.com) and David Koblentz (David.Koblentz@newyorkislanders.com). For all other event passes: email David Sampson (David.Sampson@ubsarena.com), Laura McLaughlin (Laura.McLaughlin@ubsarena.com), Richard Granato (Richard.Granato@ubsarena.com) and Giovanny Leon (Giovanny.Leon@ubsarena.com).
If Seller = LAM Parking → For all refunds, both pre-arrival and post-start, please email the POC, Arthur Gallagher (agallagher@lamparking.com), via a new ticket in Freshdesk.
If Seller = Tampa Sports Authority (TSA) → Pre-arrival refunds are always approved as long as it is before the cancellation cutoff of midnight and an approval email does not need to be sent. If it is past midnight or for post-start requests, Please email the POCs: Brandon (bflynn@tampasportsauthority.com) and Ashley (agreenfeld@tampasportsauthority.com) with the canned response: #TSA-refund-requests. Be sure to fill out all appropriate information and check looker to see if the pass was scanned. 
If Seller = Keefe Co. Parking → For all refund requests, both pre-arrival and post-start, please email the POC, Bertin Dakouo through Freshdesk via a new ticket.
If Seller = Hillsborough County Tournament Sportsplex → For all refund requests, both pre-arrival and post-start, please email the POC, Stephen Reed (sreed@tampasportsauthority.com) and Nathan Hasty (nhasty@tampasportsauthority.com). This seller as a firm NO REFUND POLICY. 
If Seller = City Parking → We only need to get approval for Paid Again refunds. The customer must provide written confirmation that they will NOT dispute the payment made on site at any City Parking location. Sendd the customer the canned response #City-Parking-Dispute through Freshdesk and once they have replied, email Lana (lana@cityparking.nyc) with a copy of the confirmation and the information on the parking pass. 
If Seller = Olympia Development Parking → All Olympia Development locations have a 3 hour cancellation cut-off (restriction). Refund requests post-start and/or for issues on-site can be handled as usual.
If Seller = SOMA Hub-255 Garage (Monthly Passes Only) → For refund or cancellation of monthly passes for SOMA Hub-255 Garage please email nicholas.paasch@propark.com, jay-li.poon@propark.com, gabriel.iniguezlink@propark.com",,
Reseller / Reseller Pass,Pass purchased through a third party or marked as Re-seller,Confirm reseller flag in Admin; check if Seller/Event cancellation applies,"Non-Refundable. Refer to the third party if it is a victim of a reseller, or if the reseller is calling, advise of the reseller's status. ",third-party service; Seatgeek; ,
Pre-start time vs. Post,Determine if the pass is considered Pre-Arrival or Post Start,"Check date and time on pass. If the pass has not started, it is considered pre-arrival. If the pass has started, it is considered post-start time.","For pre-arrival passes, follow Pre-Arrival Scenario. For Post-start refunds, determine the reason for refund and folllow the respective scenario. ",,
Was the pass used?,Identify if the pass was used. ,Check in Admin under History to see if the pass was used,"If pass was used, No refund. ",,
Season Package Parking,Pass is part of a half/full season package (sports or show),Check bookings in Parkwhiz Admin to determine if pass is part of a season package (same sales id on multiple passes),Non-Refundable. (Exception: duplicate packages),,
Pre-Arrival,Pass canceled before start time (unless season pass or restriction),"Confirm it's before start, check admin notes for restrictions","Refund automatically, no agent/lead approval required",cancel before start; pre-arrival; cancel early; didn't use yet; before it started,"Refund Reason: Pre-Arrival
Checked: Notify the buyer via email
Checked: Notify the seller via email
Checked: Refund the credit charge
Checked: Deduct the refund from seller's account
Unchecked: Mark as a chargeback(seller's fault)"
Oversold,Customer reports location full / oversold,"Check in ParkWhiz Admin under the location's bookings to see if any other passes are refunded with a reason of ""Oversold"", check the customer's account to see if they booked at another location for same/similar timeframe.",If under $50‚ refund automatically; if over $50‚ escalate to Lead,garage full; lot full; no space; oversold; location at capacity; turned away because full,"Refund Reason: Oversold
Checked: Notify the buyer via email
Checked: Notify the seller via email
Checked: Refund the credit charge
Checked: Deduct the refund from seller's account
Unchecked: Mark as a chargeback(seller's fault)"
